
1,1,1,2025-12-23 17:37:58.0
2,6,0,2025-12-23 17:54:07.0
3,6,1,2025-12-23 17:54:23.0
4,6,0,2025-12-23 18:25:25.0
5,2,0,2025-12-23 19:00:23.0
6,2,0,2025-12-23 19:00:23.0
7,6,0,2025-12-23 19:02:24.0
8,6,0,2025-12-23 19:07:48.0
9,2,0,2025-12-23 19:14:18.0
10,6,1,2025-12-23 19:19:30.0
11,6,0,2025-12-23 19:19:32.0
12,6,0,2025-12-23 19:33:14.0
13,6,1,2025-12-23 19:54:27.0
14,6,0,2025-12-23 20:01:57.0
15,6,0,2025-12-23 20:10:00.0
16,6,0,2025-12-23 20:11:26.0
17,6,0,2025-12-23 20:11:30.0
18,6,0,2025-12-23 20:24:39.0
19,6,0,2025-12-23 20:29:53.0
20,6,0,2025-12-23 20:35:42.0
21,6,1,2025-12-23 20:36:03.0
22,6,0,2025-12-23 20:44:04.0
23,1,2,2025-12-23 21:19:11.0
24,1,2,2025-12-23 21:23:52.0
25,1,2,2025-12-23 21:24:09.0
26,1,0,2025-12-24 16:32:50.0
27,1,1,2025-12-24 16:32:59.0
28,1,1,2025-12-24 16:33:09.0
29,1,1,2025-12-24 16:36:19.0
30,1,1,2025-12-24 16:36:23.0
31,1,0,2025-12-24 16:36:25.0
32,1,0,2025-12-24 16:36:31.0
33,1,1,2025-12-24 16:36:35.0
34,1,1,2025-12-24 16:40:59.0
35,1,1,2025-12-24 16:41:06.0
36,1,1,2025-12-24 16:44:59.0
37,6,1,2025-12-24 17:51:48.0
38,6,1,2025-12-24 17:58:22.0
